episode_id,agent_name,reward_total,score,episode_length,steps,score_per_step,reward_per_step,lives_lost,seed,model_path,timestamp,variant
11,dqn_reward_500k_alpha0p01_seed123,890.0,,697,697,,1.2769010043041606,,1011,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:31:32,alpha0p01_beta1_seed123
12,dqn_reward_500k_alpha0p01_seed123,440.0,,376,376,,1.1702127659574468,,1012,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:31:34,alpha0p01_beta1_seed123
13,dqn_reward_500k_alpha0p01_seed123,540.0,,445,445,,1.2134831460674158,,1013,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:31:35,alpha0p01_beta1_seed123
14,dqn_reward_500k_alpha0p01_seed123,540.0,,448,448,,1.2053571428571428,,1014,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:31:37,alpha0p01_beta1_seed123
15,dqn_reward_500k_alpha0p01_seed123,440.0,,369,369,,1.1924119241192412,,1015,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:31:38,alpha0p01_beta1_seed123
16,dqn_reward_500k_alpha0p01_seed123,890.0,,692,692,,1.286127167630058,,1016,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:31:41,alpha0p01_beta1_seed123
17,dqn_reward_500k_alpha0p01_seed123,890.0,,696,696,,1.278735632183908,,1017,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:31:43,alpha0p01_beta1_seed123
18,dqn_reward_500k_alpha0p01_seed123,540.0,,447,447,,1.2080536912751678,,1018,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:31:45,alpha0p01_beta1_seed123
19,dqn_reward_500k_alpha0p01_seed123,440.0,,369,369,,1.1924119241192412,,1019,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:31:46,alpha0p01_beta1_seed123
20,dqn_reward_500k_alpha0p01_seed123,330.0,,309,309,,1.0679611650485437,,1020,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:31:47,alpha0p01_beta1_seed123
21,dqn_reward_500k_alpha0p01_seed123,890.0,,692,692,,1.286127167630058,,1021,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:31:50,alpha0p01_beta1_seed123
22,dqn_reward_500k_alpha0p01_seed123,540.0,,448,448,,1.2053571428571428,,1022,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:31:51,alpha0p01_beta1_seed123
23,dqn_reward_500k_alpha0p01_seed123,540.0,,445,445,,1.2134831460674158,,1023,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:31:53,alpha0p01_beta1_seed123
24,dqn_reward_500k_alpha0p01_seed123,440.0,,370,370,,1.1891891891891893,,1024,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:31:54,alpha0p01_beta1_seed123
25,dqn_reward_500k_alpha0p01_seed123,330.0,,312,312,,1.0576923076923077,,1025,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:31:55,alpha0p01_beta1_seed123
26,dqn_reward_500k_alpha0p01_seed123,330.0,,310,310,,1.064516129032258,,1026,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:31:57,alpha0p01_beta1_seed123
27,dqn_reward_500k_alpha0p01_seed123,540.0,,447,447,,1.2080536912751678,,1027,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:31:58,alpha0p01_beta1_seed123
28,dqn_reward_500k_alpha0p01_seed123,440.0,,374,374,,1.1764705882352942,,1028,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:32:00,alpha0p01_beta1_seed123
29,dqn_reward_500k_alpha0p01_seed123,330.0,,311,311,,1.0610932475884245,,1029,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:32:01,alpha0p01_beta1_seed123
