comparison_group,reward_agent_group,training_seed,evaluation_seed,dqn_performance,reward_agent_performance,reward_minus_dqn,reward_pct_change
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1046,1390.0,510.0,-880.0,-63.30935251798561
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1047,1390.0,510.0,-880.0,-63.30935251798561
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1048,1390.0,510.0,-880.0,-63.30935251798561
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,123.0,1049,1390.0,510.0,-880.0,-63.30935251798561
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1000,600.0,310.0,-290.0,-48.333333333333336
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1001,680.0,980.0,300.0,44.11764705882353
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1002,680.0,980.0,300.0,44.11764705882353
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1003,680.0,980.0,300.0,44.11764705882353
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1004,680.0,980.0,300.0,44.11764705882353
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1005,630.0,270.0,-360.0,-57.14285714285714
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1006,750.0,130.0,-620.0,-82.66666666666667
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1007,630.0,270.0,-360.0,-57.14285714285714
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1008,750.0,130.0,-620.0,-82.66666666666667
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1009,600.0,310.0,-290.0,-48.333333333333336
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1010,750.0,130.0,-620.0,-82.66666666666667
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1011,630.0,270.0,-360.0,-57.14285714285714
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1012,680.0,980.0,300.0,44.11764705882353
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1013,750.0,130.0,-620.0,-82.66666666666667
